neurogolf_task_id,arc_gen_task_id,arc_dsl_task_id,arc_dsl_solver_script_path
task001,007bbfb7,007bbfb7,arc-dsl\solver_scripts\solve_007bbfb7.py
task002,00d62c1b,00d62c1b,arc-dsl\solver_scripts\solve_00d62c1b.py
task003,017c7c7b,017c7c7b,arc-dsl\solver_scripts\solve_017c7c7b.py
task004,025d127b,025d127b,arc-dsl\solver_scripts\solve_025d127b.py
task005,045e512c,045e512c,arc-dsl\solver_scripts\solve_045e512c.py
task006,0520fde7,0520fde7,arc-dsl\solver_scripts\solve_0520fde7.py
task007,05269061,05269061,arc-dsl\solver_scripts\solve_05269061.py
task008,05f2a901,05f2a901,arc-dsl\solver_scripts\solve_05f2a901.py
task009,06df4c85,06df4c85,arc-dsl\solver_scripts\solve_06df4c85.py
task010,08ed6ac7,08ed6ac7,arc-dsl\solver_scripts\solve_08ed6ac7.py
task011,09629e4f,09629e4f,arc-dsl\solver_scripts\solve_09629e4f.py
task012,0962bcdd,0962bcdd,arc-dsl\solver_scripts\solve_0962bcdd.py
task013,0a938d79,0a938d79,arc-dsl\solver_scripts\solve_0a938d79.py
task014,0b148d64,0b148d64,arc-dsl\solver_scripts\solve_0b148d64.py
task015,0ca9ddb6,0ca9ddb6,arc-dsl\solver_scripts\solve_0ca9ddb6.py
task016,0d3d703e,0d3d703e,arc-dsl\solver_scripts\solve_0d3d703e.py
task017,0dfd9992,0dfd9992,arc-dsl\solver_scripts\solve_0dfd9992.py
task018,0e206a2e,0e206a2e,arc-dsl\solver_scripts\solve_0e206a2e.py
task019,10fcaaa3,10fcaaa3,arc-dsl\solver_scripts\solve_10fcaaa3.py
task020,11852cab,11852cab,arc-dsl\solver_scripts\solve_11852cab.py
task021,1190e5a7,1190e5a7,arc-dsl\solver_scripts\solve_1190e5a7.py
task022,137eaa0f,137eaa0f,arc-dsl\solver_scripts\solve_137eaa0f.py
task023,150deff5,150deff5,arc-dsl\solver_scripts\solve_150deff5.py
task024,178fcbfb,178fcbfb,arc-dsl\solver_scripts\solve_178fcbfb.py
task025,1a07d186,1a07d186,arc-dsl\solver_scripts\solve_1a07d186.py
task026,1b2d62fb,1b2d62fb,arc-dsl\solver_scripts\solve_1b2d62fb.py
task027,1b60fb0c,1b60fb0c,arc-dsl\solver_scripts\solve_1b60fb0c.py
task028,1bfc4729,1bfc4729,arc-dsl\solver_scripts\solve_1bfc4729.py
task029,1c786137,1c786137,arc-dsl\solver_scripts\solve_1c786137.py
task030,1caeab9d,1caeab9d,arc-dsl\solver_scripts\solve_1caeab9d.py
task031,1cf80156,1cf80156,arc-dsl\solver_scripts\solve_1cf80156.py
task032,1e0a9b12,1e0a9b12,arc-dsl\solver_scripts\solve_1e0a9b12.py
task033,1e32b0e9,1e32b0e9,arc-dsl\solver_scripts\solve_1e32b0e9.py
task034,1f0c79e5,1f0c79e5,arc-dsl\solver_scripts\solve_1f0c79e5.py
task035,1f642eb9,1f642eb9,arc-dsl\solver_scripts\solve_1f642eb9.py
task036,1f85a75f,1f85a75f,arc-dsl\solver_scripts\solve_1f85a75f.py
task037,1f876c06,1f876c06,arc-dsl\solver_scripts\solve_1f876c06.py
task038,1fad071e,1fad071e,arc-dsl\solver_scripts\solve_1fad071e.py
task039,2013d3e2,2013d3e2,arc-dsl\solver_scripts\solve_2013d3e2.py
task040,2204b7a8,2204b7a8,arc-dsl\solver_scripts\solve_2204b7a8.py
task041,22168020,22168020,arc-dsl\solver_scripts\solve_22168020.py
task042,22233c11,22233c11,arc-dsl\solver_scripts\solve_22233c11.py
task043,2281f1f4,2281f1f4,arc-dsl\solver_scripts\solve_2281f1f4.py
task044,228f6490,228f6490,arc-dsl\solver_scripts\solve_228f6490.py
task045,22eb0ac0,22eb0ac0,arc-dsl\solver_scripts\solve_22eb0ac0.py
task046,234bbc79,234bbc79,arc-dsl\solver_scripts\solve_234bbc79.py
task047,23581191,23581191,arc-dsl\solver_scripts\solve_23581191.py
task048,239be575,239be575,arc-dsl\solver_scripts\solve_239be575.py
task049,23b5c85d,23b5c85d,arc-dsl\solver_scripts\solve_23b5c85d.py
task050,253bf280,253bf280,arc-dsl\solver_scripts\solve_253bf280.py
task051,25d487eb,25d487eb,arc-dsl\solver_scripts\solve_25d487eb.py
task052,25d8a9c8,25d8a9c8,arc-dsl\solver_scripts\solve_25d8a9c8.py
task053,25ff71a9,25ff71a9,arc-dsl\solver_scripts\solve_25ff71a9.py
task054,264363fd,264363fd,arc-dsl\solver_scripts\solve_264363fd.py
task055,272f95fa,272f95fa,arc-dsl\solver_scripts\solve_272f95fa.py
task056,27a28665,27a28665,arc-dsl\solver_scripts\solve_27a28665.py
task057,28bf18c6,28bf18c6,arc-dsl\solver_scripts\solve_28bf18c6.py
task058,28e73c20,28e73c20,arc-dsl\solver_scripts\solve_28e73c20.py
task059,29623171,29623171,arc-dsl\solver_scripts\solve_29623171.py
task060,29c11459,29c11459,arc-dsl\solver_scripts\solve_29c11459.py
task061,29ec7d0e,29ec7d0e,arc-dsl\solver_scripts\solve_29ec7d0e.py
task062,2bcee788,2bcee788,arc-dsl\solver_scripts\solve_2bcee788.py
task063,2bee17df,2bee17df,arc-dsl\solver_scripts\solve_2bee17df.py
task064,2c608aff,2c608aff,arc-dsl\solver_scripts\solve_2c608aff.py
task065,2dc579da,2dc579da,arc-dsl\solver_scripts\solve_2dc579da.py
task066,2dd70a9a,2dd70a9a,arc-dsl\solver_scripts\solve_2dd70a9a.py
task067,2dee498d,2dee498d,arc-dsl\solver_scripts\solve_2dee498d.py
task068,31aa019c,31aa019c,arc-dsl\solver_scripts\solve_31aa019c.py
task069,321b1fc6,321b1fc6,arc-dsl\solver_scripts\solve_321b1fc6.py
task070,32597951,32597951,arc-dsl\solver_scripts\solve_32597951.py
