task,similar_1,similar_2,similar_3,similar_4,similar_5
task001,task217,task194,task315,task142,task152
task002,task251,task102,task098,task367,task187
task003,task124,task114,task295,task231,task123
task004,task197,task098,task082,task193,task258
task005,task370,task013,task034,task284,task080
task006,task026,task386,task347,task395,task227
task007,task313,task305,task017,task074,task232
task008,task234,task250,task154,task353,task245
task009,task055,task080,task037,task192,task071
task010,task374,task256,task254,task128,task181
task011,task163,task240,task292,task074,task127
task012,task230,task028,task041,task331,task387
task013,task370,task284,task051,task005,task358
task014,task065,task036,task207,task396,task091
task015,task041,task028,task215,task232,task344
task016,task337,task309,task276,task172,task053
task017,task305,task110,task074,task313,task007
task018,task076,task285,task133,task158,task191
task019,task388,task284,task249,task013,task005
task020,task331,task041,task387,task028,task284
task021,task049,task065,task183,task259,task207
task022,task321,task257,task368,task041,task372
task023,task157,task096,task219,task027,task364
task024,task232,task047,task060,task043,task050
task025,task340,task234,task270,task255,task370
task026,task006,task386,task144,task227,task236
task027,task042,task112,task361,task099,task258
task028,task041,task331,task232,task387,task020
task029,task036,task300,task065,task091,task014
task030,task071,task353,task245,task397,task234
task031,task036,task384,task351,task174,task057
task032,task073,task301,task126,task250,task078
task033,task221,task306,task381,task071,task014
task034,task190,task005,task378,task370,task136
task035,task093,task237,task333,task099,task328
task036,task174,task065,task111,task300,task014
task037,task071,task009,task251,task378,task324
task038,task325,task274,task399,task186,task167
task039,task111,task057,task351,task384,task217
task040,task267,task252,task312,task045,task041
task041,task028,task232,task387,task305,task331
task042,task041,task027,task323,task020,task331
task043,task047,task024,task381,task028,task299
task044,task245,task201,task233,task264,task096
task045,task350,task356,task217,task092,task232
task046,task396,task253,task234,task153,task143
task047,task043,task060,task232,task024,task299
task048,task103,task174,task178,task183,task346
task049,task300,task065,task174,task351,task400
task050,task350,task356,task092,task024,task335
task051,task224,task119,task013,task370,task324
task052,task312,task040,task267,task252,task073
task053,task385,task210,task311,task164,task113
task054,task173,task158,task191,task018,task285
task055,task009,task033,task126,task387,task122
task056,task235,task103,task088,task290,task291
task057,task111,task384,task036,task121,task263
task058,task171,task217,task232,task252,task007
task059,task149,task011,task163,task355,task063
task060,task232,task047,task024,task007,task045
task061,task305,task175,task017,task110,task215
task062,task392,task119,task034,task242,task361
task063,task303,task293,task084,task300,task252
task064,task333,task379,task165,task378,task370
task065,task036,task014,task207,task174,task091
task066,task119,task202,task370,task013,task286
task067,task326,task329,task188,task373,task389
task068,task222,task161,task278,task192,task359
task069,task368,task363,task206,task075,task173
task070,task121,task320,task085,task329,task074
task071,task192,task251,task112,task300,task132
task072,task236,task026,task144,task318,task227
task073,task078,task317,task047,task126,task350
task074,task017,task313,task305,task007,task110
task075,task368,task069,task206,task214,task099
task076,task018,task285,task089,task158,task191
task077,task162,task265,task279,task336,task255
task078,task073,task028,task381,task043,task292
task079,task300,task121,task396,task365,task361
task080,task009,task158,task005,task173,task185
task081,task287,task351,task273,task369,task139
task082,task352,task098,task258,task314,task193
task083,task152,task142,task194,task211,task315
task084,task380,task007,task312,task252,task313
task085,task094,task082,task120,task070,task312
task086,task390,task041,task397,task387,task012
task087,task140,task380,task104,task194,task152
task088,task396,task290,task091,task300,task228
task089,task076,task173,task285,task363,task071
task090,task265,task162,task145,task077,task396
task091,task036,task310,task065,task014,task111
task092,task350,task356,task050,task045,task074
task093,task126,task071,task131,task035,task251
task094,task141,task381,task200,task095,task165
task095,task171,task261,task352,task317,task220
task096,task264,task233,task366,task201,task308
task097,task193,task230,task192,task352,task098
task098,task258,task120,task193,task230,task004
task099,task295,task041,task124,task237,task137
task100,task049,task121,task259,task394,task090
task101,task133,task158,task209,task191,task076
task102,task196,task367,task251,task002,task302
task103,task048,task174,task056,task395,task347
task104,task315,task194,task142,task152,task380
task105,task132,task166,task367,task118,task102
task106,task211,task376,task172,task142,task152
task107,task269,task168,task268,task141,task190
task108,task194,task001,task142,task152,task217
task109,task065,task183,task185,task189,task111
task110,task017,task074,task305,task215,task287
task111,task121,task036,task263,task065,task174
task112,task117,task240,task361,task071,task387
task113,task385,task172,task116,task164,task311
task114,task123,task295,task231,task124,task003
task115,task377,task316,task291,task184,task346
task116,task210,task172,task311,task164,task211
task117,task361,task112,task240,task328,task237
task118,task105,task265,task157,task077,task219
task119,task181,task051,task200,task024,task066
task120,task098,task193,task230,task258,task344
task121,task259,task111,task036,task263,task174
task122,task353,task181,task151,task126,task245
task123,task114,task295,task124,task231,task327
task124,task295,task231,task123,task114,task099
task125,task102,task251,task302,task220,task002
task126,task387,task131,task093,task122,task370
task127,task257,task171,task232,task317,task344
task128,task028,task078,task375,task381,task292
task129,task339,task229,task186,task334,task391
task130,task193,task097,task108,task352,task135
task131,task126,task370,task382,task093,task387
task132,task105,task166,task071,task387,task091
task133,task101,task158,task018,task054,task285
task134,task036,task185,task384,task238,task259
task135,task326,task329,task296,task146,task193
task136,task168,task190,task200,task141,task024
task137,task099,task387,task371,task020,task028
task138,task014,task396,task178,task205,task065
task139,task166,task105,task356,task351,task118
task140,task087,task380,task142,task329,task217
task141,task094,task324,task375,task232,task168
task142,task152,task083,task194,task001,task380
task143,task228,task300,task354,task071,task174
task144,task227,task386,task318,task395,task236
task145,task156,task090,task254,task118,task049
task146,task174,task263,task180,task321,task217
task147,task272,task389,task332,task261,task299
task148,task237,task379,task131,task119,task118
task149,task271,task059,task169,task011,task207
task150,task155,task376,task164,task152,task106
task151,task122,task220,task143,task126,task256
task152,task142,task083,task194,task001,task211
task153,task253,task308,task264,task046,task096
task154,task390,task245,task008,task044,task250
task155,task150,task376,task106,task179,task211
task156,task302,task226,task204,task145,task374
task157,task366,task264,task364,task153,task233
task158,task173,task209,task054,task133,task076
task159,task238,task253,task201,task088,task245
task160,task282,task317,task283,task344,task338
task161,task222,task068,task192,task092,task246
task162,task265,task077,task336,task283,task090
task163,task011,task041,task257,task084,task127
task164,task311,task172,task210,task116,task113
task165,task237,task379,task094,task141,task192
task166,task105,task132,task139,task317,task350
task167,task334,task186,task399,task274,task325
task168,task136,task190,task141,task333,task378
task169,task330,task369,task374,task354,task277
task170,task354,task159,task238,task111,task121
task171,task058,task261,task317,task095,task127
task172,task116,task210,task164,task311,task106
task173,task158,task054,task206,task089,task363
task174,task036,task300,task065,task014,task146
task175,task061,task305,task017,task110,task313
task176,task252,task292,task041,task323,task232
task177,task360,task083,task217,task372,task326
task178,task065,task300,task036,task174,task370
task179,task241,task172,task329,task164,task116
task180,task257,task321,task372,task360,task146
task181,task119,task122,task353,task126,task112
task182,task077,task070,task192,task162,task279
task183,task189,task238,task185,task065,task109
task184,task218,task115,task244,task377,task014
task185,task238,task183,task134,task065,task080
task186,task274,task399,task167,task339,task129
task187,task367,task098,task002,task324,task251
task188,task329,task067,task207,task178,task263
task189,task183,task109,task354,task238,task185
task190,task136,task168,task034,task200,task141
task191,task076,task158,task054,task018,task285
task192,task071,task222,task097,task009,task193
task193,task098,task120,task097,task258,task230
task194,task152,task142,task083,task001,task108
task195,task384,task108,task217,task057,task159
task196,task102,task279,task330,task338,task336
task197,task232,task004,task312,task024,task171
task198,task251,task279,task126,task033,task065
task199,task323,task200,task065,task084,task126
task200,task094,task136,task119,task024,task190
task201,task238,task044,task159,task245,task096
task202,task370,task013,task382,task066,task051
task203,task298,task267,task183,task225,task229
task204,task302,task156,task125,task098,task349
task205,task138,task091,task216,task310,task135
task206,task368,task363,task173,task069,task075
task207,task065,task014,task263,task111,task121
task208,task095,task255,task099,task080,task162
task209,task158,task366,task233,task319,task076
task210,task311,task116,task172,task164,task211
task211,task083,task376,task106,task152,task142
task212,task200,task030,task168,task024,task333
task213,task183,task238,task035,task189,task185
task214,task194,task075,task106,task142,task152
task215,task110,task313,task007,task303,task329
task216,task396,task365,task300,task355,task271
task217,task001,task041,task045,task232,task252
task218,task377,task184,task310,task177,task205
task219,task363,task077,task101,task277,task206
task220,task095,task352,task171,task230,task151
task221,task033,task001,task256,task269,task094
task222,task161,task192,task068,task071,task097
task223,task307,task289,task108,task269,task315
task224,task051,task246,task192,task132,task220
task225,task348,task237,task387,task352,task394
task226,task156,task369,task251,task323,task338
task227,task144,task395,task386,task236,task026
task228,task143,task126,task178,task071,task397
task229,task129,task304,task300,task254,task272
task230,task258,task012,task041,task120,task098
task231,task124,task295,task114,task123,task387
task232,task041,task024,task313,task322,task028
task233,task366,task018,task096,task209,task319
task234,task245,task387,task008,task071,task370
task235,task236,task262,task386,task144,task318
task236,task072,task144,task386,task227,task026
task237,task328,task322,task232,task388,task165
task238,task159,task185,task183,task201,task308
task239,task355,task300,task301,task126,task396
task240,task112,task287,task117,task074,task361
task241,task179,task164,task116,task172,task210
task242,task351,task400,task112,task240,task074
task243,task077,task187,task255,task202,task364
task244,task184,task377,task065,task391,task115
task245,task353,task251,task122,task234,task281
task246,task335,task350,task092,task356,task224
task247,task300,task393,task355,task239,task115
task248,task357,task378,task268,task288,task322
task249,task376,task194,task211,task106,task388
task250,task270,task008,task345,task340,task136
task251,task338,task102,task002,task071,task245
task252,task292,task293,task298,task176,task217
task253,task264,task153,task308,task301,task046
task254,task374,task300,task256,task330,task355
task255,task077,task208,task243,task133,task392
task256,task387,task126,task122,task221,task254
task257,task180,task321,task127,task146,task163
task258,task230,task098,task350,task193,task041
task259,task121,task394,task300,task384,task036
task260,task034,task200,task136,task168,task062
task261,task171,task315,task095,task252,task332
task262,task235,task322,task291,task347,task006
task263,task111,task121,task036,task014,task207
task264,task253,task308,task153,task096,task300
task265,task162,task336,task077,task283,task105
task266,task282,task344,task317,task369,task186
task267,task040,task232,task252,task024,task389
task268,task378,task284,task328,task013,task034
